all_flights,on_time_ct,arr_flights,year_month,carrier
5539.0,0.8526809893482578,4723.0,2014-11,Virgin America
6582.0,0.7585840170161046,4993.0,2014-12,Virgin America
5571.0,0.8492191707054388,4731.0,2015-01,Virgin America
5231.0,0.8073026190021029,4223.0,2015-02,Virgin America
5901.0,0.8257922386036265,4873.0,2015-03,Virgin America
5726.0,0.8583653510303877,4915.0,2015-04,Virgin America
6493.0,0.8064068997381796,5236.0,2015-05,Virgin America
6285.0,0.8369132856006364,5260.0,2015-06,Virgin America
6664.0,0.8119747899159664,5411.0,2015-07,Virgin America
6791.0,0.837579148873509,5688.0,2015-08,Virgin America
5854.0,0.8804236419542193,5154.0,2015-09,Virgin America
6376.0,0.8569636135508155,5464.0,2015-10,Virgin America
58749.0,0.8087456807775452,47513.0,2014-11,SkyWest Airlines Inc.
65576.0,0.7532786385262901,49397.0,2014-12,SkyWest Airlines Inc.
60926.0,0.7896956964186062,48113.0,2015-01,SkyWest Airlines Inc.
55407.0,0.7939249553305538,43989.0,2015-02,SkyWest Airlines Inc.
58846.0,0.851000917649458,50078.0,2015-03,SkyWest Airlines Inc.
57653.0,0.8556189617192513,49329.0,2015-04,SkyWest Airlines Inc.
58794.0,0.8481137531040582,49864.0,2015-05,SkyWest Airlines Inc.
61743.0,0.8147806229046207,50307.0,2015-06,SkyWest Airlines Inc.
63825.0,0.824551508029769,52627.0,2015-07,SkyWest Airlines Inc.
63393.0,0.8317953086302904,52730.0,2015-08,SkyWest Airlines Inc.
54613.0,0.8720451174628752,47625.0,2015-09,SkyWest Airlines Inc.
55774.0,0.8751030946319074,48808.0,2015-10,SkyWest Airlines Inc.
61514.0,0.8383294859706734,51569.0,2014-11,ExpressJet Airlines Inc.
64663.0,0.8065818164947497,52156.0,2014-12,ExpressJet Airlines Inc.
62757.0,0.7955287856334752,49925.0,2015-01,ExpressJet Airlines Inc.
58813.0,0.767483379524935,45138.0,2015-02,ExpressJet Airlines Inc.
67097.0,0.807636705068781,54190.0,2015-03,ExpressJet Airlines Inc.
59059.0,0.8346907329958178,49296.0,2015-04,ExpressJet Airlines Inc.
60216.0,0.8172744785439086,49213.0,2015-05,ExpressJet Airlines Inc.
63588.0,0.7724570673712021,49119.0,2015-06,ExpressJet Airlines Inc.
61093.0,0.824660763098882,50381.0,2015-07,ExpressJet Airlines Inc.
57884.0,0.8388155621588004,48554.0,2015-08,ExpressJet Airlines Inc.
